Date,Open,High,Low,Close,Adj Close,Volume
2022-07-08,5.270000,5.270000,5.170000,5.190000,4.751977,145246427
2022-07-11,5.160000,5.200000,5.150000,5.170000,4.733665,160222800
2022-07-12,5.160000,5.200000,5.120000,5.120000,4.687885,227174800
2022-07-13,5.120000,5.150000,5.060000,5.060000,4.632949,240454947
2022-07-14,5.050000,5.060000,4.980000,4.990000,4.568857,351668829
2022-07-15,4.930000,4.950000,4.900000,4.900000,4.486453,356904637
2022-07-18,4.930000,5.070000,4.910000,5.050000,4.623794,237161007
2022-07-19,4.990000,5.040000,4.970000,5.010000,4.587169,120654768
2022-07-20,5.020000,5.070000,5.020000,5.030000,4.605482,124262780
2022-07-21,4.990000,5.000000,4.930000,4.940000,4.523077,294480760
2022-07-22,4.960000,5.020000,4.950000,4.970000,4.550545,157210355
2022-07-25,4.990000,5.030000,4.980000,5.010000,4.587169,131305627
2022-07-26,5.020000,5.040000,4.990000,5.020000,4.596325,161154397
2022-07-27,5.020000,5.030000,4.970000,5.020000,4.596325,134273722
2022-07-28,4.980000,5.020000,4.970000,5.010000,4.587169,205656850
2022-07-29,5.000000,5.050000,4.980000,5.010000,4.587169,227553037
2022-08-01,5.050000,5.050000,4.970000,5.000000,4.578013,300680954
2022-08-02,4.970000,4.970000,4.880000,4.900000,4.486453,315371471
2022-08-03,4.890000,4.900000,4.810000,4.830000,4.422360,346666963
2022-08-04,4.830000,4.870000,4.820000,4.860000,4.449829,318043696
2022-08-05,4.870000,4.920000,4.860000,4.890000,4.477297,192098805
2022-08-08,4.920000,4.950000,4.900000,4.930000,4.513921,128521582
2022-08-09,4.930000,5.000000,4.910000,4.940000,4.523077,134409490
2022-08-10,4.920000,4.950000,4.830000,4.870000,4.458985,222665510
2022-08-11,4.880000,4.940000,4.870000,4.940000,4.523077,138273704
2022-08-12,4.940000,4.990000,4.930000,4.970000,4.550545,119575589
2022-08-15,4.940000,4.960000,4.900000,4.940000,4.523077,104943381
2022-08-16,4.950000,4.980000,4.890000,4.900000,4.486453,140108917
2022-08-17,4.950000,4.970000,4.910000,4.910000,4.495609,89811812
2022-08-18,4.930000,4.940000,4.870000,4.880000,4.468141,104642171
2022-08-19,4.850000,4.930000,4.850000,4.910000,4.495609,97377014
2022-08-22,4.880000,4.930000,4.880000,4.900000,4.486453,145329265
2022-08-23,4.880000,4.900000,4.830000,4.840000,4.431517,165861151
2022-08-24,4.850000,4.850000,4.800000,4.810000,4.404048,144498440
2022-08-25,4.800000,4.880000,4.800000,4.870000,4.458985,116421882
2022-08-26,4.890000,4.900000,4.840000,4.890000,4.477297,120179327
2022-08-29,4.820000,4.890000,4.820000,4.860000,4.449829,119497567
2022-08-30,4.850000,4.870000,4.800000,4.850000,4.440673,182798647
2022-08-31,4.800000,4.870000,4.800000,4.870000,4.458985,307235501
2022-09-01,4.840000,4.840000,4.800000,4.830000,4.422360,254106672
2022-09-02,4.820000,4.820000,4.790000,4.810000,4.404048,233451763
2022-09-05,4.790000,4.790000,4.730000,4.770000,4.367424,208600165
2022-09-06,4.770000,4.810000,4.750000,4.750000,4.349113,111111690
2022-09-07,4.710000,4.740000,4.680000,4.730000,4.330801,187212995
2022-09-08,4.740000,4.750000,4.680000,4.690000,4.294177,176390916
2022-09-09,4.690000,4.820000,4.680000,4.800000,4.394893,139915901
2022-09-13,4.760000,4.840000,4.760000,4.780000,4.376581,167557894
2022-09-14,4.700000,4.720000,4.690000,4.700000,4.303332,180722040
2022-09-15,4.690000,4.720000,4.690000,4.690000,4.294177,132894562
2022-09-16,4.650000,4.710000,4.650000,4.680000,4.285020,299640288
2022-09-19,4.670000,4.720000,4.650000,4.700000,4.303332,126898787
2022-09-20,4.690000,4.740000,4.690000,4.710000,4.312489,120622540
2022-09-21,4.700000,4.710000,4.660000,4.670000,4.275864,140264999
2022-09-22,4.640000,4.660000,4.620000,4.650000,4.257552,153640414
2022-09-23,4.650000,4.700000,4.630000,4.670000,4.275864,140597218
2022-09-26,4.660000,4.660000,4.590000,4.600000,4.211772,217346325
2022-09-27,4.590000,4.610000,4.540000,4.560000,4.175148,169755370
2022-09-28,4.510000,4.530000,4.450000,4.450000,4.074431,277608942
2022-09-29,4.460000,4.510000,4.370000,4.410000,4.037807,287250756
2022-09-30,4.420000,4.550000,4.400000,4.540000,4.156836,228525213
2022-10-03,4.480000,4.510000,4.450000,4.460000,4.083588,149058674
2022-10-05,4.560000,4.720000,4.550000,4.680000,4.285020,227782928
2022-10-06,4.700000,4.720000,4.640000,4.650000,4.257552,117445373
2022-10-07,4.620000,4.650000,4.590000,4.600000,4.211772,85192815
2022-10-10,4.520000,4.560000,4.480000,4.530000,4.147680,194807679
2022-10-11,4.520000,4.550000,4.460000,4.480000,4.101900,156523798
2022-10-12,4.480000,4.510000,4.440000,4.460000,4.083588,200124872
2022-10-13,4.460000,4.460000,4.400000,4.410000,4.037807,230893839
2022-10-14,4.460000,4.500000,4.400000,4.410000,4.037807,240815480
2022-10-17,4.460000,4.460000,4.400000,4.420000,4.046964,207652081
2022-10-18,4.450000,4.480000,4.400000,4.450000,4.074431,220805110
2022-10-19,4.430000,4.500000,4.420000,4.450000,4.074431,184546637
2022-10-20,4.400000,4.500000,4.400000,4.470000,4.092743,161760524
2022-10-21,4.500000,4.550000,4.440000,4.520000,4.138524,188389748
2022-10-24,4.460000,4.480000,4.350000,4.410000,4.037807,311752605
2022-10-25,4.480000,4.480000,4.370000,4.430000,4.056119,302644912
2022-10-26,4.420000,4.470000,4.370000,4.400000,4.028652,223050417
2022-10-27,4.450000,4.500000,4.390000,4.420000,4.046964,244593612
2022-10-28,4.420000,4.440000,4.340000,4.370000,4.001184,226926705
2022-10-31,4.370000,4.370000,4.160000,4.170000,3.818063,408151184
2022-11-01,4.210000,4.220000,4.100000,4.180000,3.827219,407606835
2022-11-02,4.170000,4.290000,4.120000,4.250000,3.891311,196656848
2022-11-03,4.200000,4.260000,4.130000,4.150000,3.799751,232987849
2022-11-04,4.150000,4.350000,4.140000,4.270000,3.909623,281400718
2022-11-07,4.270000,4.420000,4.240000,4.370000,4.001184,199878291
