Date,Open,Close,High,Low,Turnover,TsVolume,ExhcangeRate
2021/3/5,45.31,47.28,47.65,45.2,634517,2979127920,0.9
2021/3/8,47.7,45.85,48.33,45.65,555089,2618227552,0.79
2021/3/9,46.24,44.15,46.24,42.36,747303,3344775520,1.07
2021/3/10,45.14,43.08,46.05,42.67,776289,3429793616,1.11
2021/3/11,42.7,41.8,43.03,39.84,1407565,5882177024,2.01
2021/3/12,42.02,40.5,42.15,39.8,1102370,4522028800,1.57
2021/3/15,40.05,37.85,40.18,37.53,1270150,4946161408,1.81
2021/3/16,37.87,38.07,39.25,37.57,818584,3166208512,1.17
2021/3/17,37.15,38.24,39.13,36.44,852593,3253950784,1.22
2021/3/18,38.24,38.23,38.5,37.25,706126,2692449808,1.01
2021/3/19,37.65,35.49,37.71,35.25,1365146,4990287104,1.95
2021/3/22,35.65,34.95,35.76,32.46,1744476,5990806272,2.49
2021/3/23,35.17,34,35.74,33.73,1192975,4163396880,1.7
2021/3/24,33.66,32.05,33.9,32.02,1316784,4349596672,1.88
2021/3/25,31.7,32.54,32.89,31.55,952886,3119282544,1.36
2021/3/26,32.87,34.57,34.8,32.55,1166553,4009761696,1.66
2021/3/29,34.77,33.4,34.86,33.26,952765,3243654896,1.36
2021/3/30,33.4,33.56,34.02,32.85,812687,2754676944,1.16
2021/3/31,33.57,33.48,33.72,32.72,581520,1953136304,0.83
2021/4/1,33.76,34.73,34.92,33.56,873250,3028667456,1.25
2021/4/2,34.77,35.38,35.9,34.46,852372,3046277184,1.22
2021/4/6,35.49,34.74,35.82,34.69,646471,2285170768,0.92
2021/4/7,34.9,34.13,34.9,33.75,575608,1981120304,0.82
2021/4/8,34.26,33.71,34.5,33.66,471898,1618186720,0.67
2021/4/9,33.72,33.1,33.93,32.95,512729,1722908672,0.73
2021/4/12,33.26,32.41,33.52,32.24,461307,1527506736,0.66
2021/4/13,32.44,33.78,34.5,32.44,1003939,3425903408,1.43
2021/4/14,33.9,33.8,34.07,33.33,528341,1800520960,0.75
2021/4/15,33.82,33.12,33.92,32.55,639224,2125414448,0.91
2021/4/16,33.13,32.93,33.24,32.23,486115,1609124112,0.69
2021/4/19,33.06,36.21,36.26,33,1921263,6871104768,2.74
2021/4/20,35.99,34.91,35.99,34.89,1150354,4108390256,1.64
2021/4/21,33.85,35.82,35.96,33.67,1099631,3886528080,1.57
2021/4/22,36.22,37.02,38.27,34.97,1759506,6501303040,2.5
2021/4/23,36.54,37.04,37.66,36.17,1108523,4142223136,1.58
2021/4/26,36.05,35.98,37.07,35.37,1122353,4110138000,1.6
2021/4/27,35.85,38.05,38.08,35.06,1251482,4653232640,1.78
2021/4/28,37.52,36.85,37.77,36.7,1053203,3948848736,1.5
2021/4/29,36.84,36.36,37.3,36.2,654522,2420610928,0.93
2021/4/30,36.55,36.61,36.84,36.1,563239,2078064720,0.8
2021/5/6,36.3,35.98,37.3,35.68,562372,2061918688,0.8
